location1,lat1,lon1,location2,lat2,lon2,count
"Ann Arbor, MI",42.2681569,-83.731229,"Philadelphia, PA",39.9523993,-75.1635898,174
"Philadelphia, PA",39.9523993,-75.1635898,"Princeton, NJ",40.3492744,-74.6592957,174
"La Jolla, CA",32.8472711,-117.2742085,"Madison, WI",43.074761,-89.3837612,174
"Augusta, GA",33.4709714,-81.9748428,"Boston, MA",42.3604823,-71.0595677,172
"Cleveland, OH",41.5051613,-81.6934445,"New York, NY",40.7305991,-73.9865811,172
"La Jolla, CA",32.8472711,-117.2742085,"Tempe, AZ",33.4144139,-111.9094473,172
"Bethesda, MD",38.9848265,-77.0946458,"Tempe, AZ",33.4144139,-111.9094473,170
"Dallas, TX",32.7762719,-96.7968558,"La Jolla, CA",32.8472711,-117.2742085,170
"Indianapolis, IN",39.7683331,-86.1583501,"New York, NY",40.7305991,-73.9865811,168
"Chicago, IL",41.8755546,-87.6244211,"Dallas, TX",32.7762719,-96.7968558,168
"Chicago, IL",41.8755546,-87.6244211,"Tempe, AZ",33.4144139,-111.9094473,166
"Bethesda, MD",38.9848265,-77.0946458,"Irvine, CA",33.6856969,-117.8259818,166
"San Francisco, CA",37.7792808,-122.4192362,"Seattle, WA",47.6038321,-122.3300623,166
"Durham, NC",35.9940329,-78.8986189,"Pittsburgh, PA",40.4416941,-79.990086,166
"New York, NY",40.7305991,-73.9865811,"Urbana, IL",40.1117174,-88.2073009,164
"Seattle, WA",47.6038321,-122.3300623,"Stanford, CA",37.4265649,-122.170187551249,164
"Boston, MA",42.3604823,-71.0595677,"Lexington, KY",38.0464066,-84.4970392,162
"Dallas, TX",32.7762719,-96.7968558,"Los Angeles, CA",34.0543942,-118.2439408,162
"Chicago, IL",41.8755546,-87.6244211,"Gainesville, FL",29.651907,-82.3247975,162
"Bethesda, MD",38.9848265,-77.0946458,"Indianapolis, IN",39.7683331,-86.1583501,160
"Boston, MA",42.3604823,-71.0595677,"New Orleans, LA",29.9499323,-90.0701155,160
"Birmingham, AL",33.5206824,-86.8024325,"New York, NY",40.7305991,-73.9865811,160
"Birmingham, AL",33.5206824,-86.8024325,"Boston, MA",42.3604823,-71.0595677,160
"Austin, TX",30.2711286,-97.7436994,"New York, NY",40.7305991,-73.9865811,160
"Boston, MA",42.3604823,-71.0595677,"Tallahassee, FL",30.4380832,-84.2809331,160
"Boston, MA",42.3604823,-71.0595677,"Rochester, NY",43.1572851,-77.615214,160
"Iowa City, IA",41.6612561,-91.5299105,"New York, NY",40.7305991,-73.9865811,158
"Houston, TX",29.7589382,-95.3676973,"Stanford, CA",37.4265649,-122.170187551249,158
"Boston, MA",42.3604823,-71.0595677,"Milwaukee, WI",43.0349931,-87.9224969,158
"Durham, NC",35.9940329,-78.8986189,"New Haven, CT",41.3082138,-72.9250517,158
"Bethesda, MD",38.9848265,-77.0946458,"Davis, CA",38.545379,-121.7445834,158
"Pittsburgh, PA",40.4416941,-79.990086,"Stanford, CA",37.4265649,-122.170187551249,158
"Los Angeles, CA",34.0543942,-118.2439408,"Tempe, AZ",33.4144139,-111.9094473,158
"Ann Arbor, MI",42.2681569,-83.731229,"Stanford, CA",37.4265649,-122.170187551249,156
"New York, NY",40.7305991,-73.9865811,"Portland, OR",45.5202471,-122.6741948,154
"Dallas, TX",32.7762719,-96.7968558,"Philadelphia, PA",39.9523993,-75.1635898,154
"Atlanta, GA",33.7490987,-84.3901848,"Durham, NC",35.9940329,-78.8986189,152
"Pittsburgh, PA",40.4416941,-79.990086,"San Francisco, CA",37.7792808,-122.4192362,152
"Boston, MA",42.3604823,-71.0595677,"Iowa City, IA",41.6612561,-91.5299105,152
"Baltimore, MD",39.2908608,-76.6108072,"Irvine, CA",33.6856969,-117.8259818,150
"Ashburn, VA",39.0437192,-77.4874898,"Boston, MA",42.3604823,-71.0595677,150
"Baltimore, MD",39.2908608,-76.6108072,"Nashville, TN",36.1622296,-86.774353,150
"Chicago, IL",41.8755546,-87.6244211,"Urbana, IL",40.1117174,-88.2073009,150
"Baltimore, MD",39.2908608,-76.6108072,"Minneapolis, MN",44.9772995,-93.2654691,150
"Milwaukee, WI",43.0349931,-87.9224969,"New York, NY",40.7305991,-73.9865811,150
"Atlanta, GA",33.7490987,-84.3901848,"Pittsburgh, PA",40.4416941,-79.990086,150
"Boston, MA",42.3604823,-71.0595677,"Hanover, NH",43.7033561,-72.2885717,148
"New Haven, CT",41.3082138,-72.9250517,"San Francisco, CA",37.7792808,-122.4192362,148
"Madison, WI",43.074761,-89.3837612,"San Francisco, CA",37.7792808,-122.4192362,148
"Boston, MA",42.3604823,-71.0595677,"Salt Lake City, UT",40.7670126,-111.8904307,146
"Boston, MA",42.3604823,-71.0595677,"Buffalo, NY",42.8971799,-78.8533217725477,146
"Pittsburgh, PA",40.4416941,-79.990086,"Saint Louis, MO",38.6272733,-90.1978888,146
"New York, NY",40.7305991,-73.9865811,"Salt Lake City, UT",40.7670126,-111.8904307,146
"Boston, MA",42.3604823,-71.0595677,"Detroit, MI",42.3486635,-83.0567374,144
"Atlanta, GA",33.7490987,-84.3901848,"Seattle, WA",47.6038321,-122.3300623,142
"Chicago, IL",41.8755546,-87.6244211,"Nashville, TN",36.1622296,-86.774353,142
"Madison, WI",43.074761,-89.3837612,"Philadelphia, PA",39.9523993,-75.1635898,142
"New York, NY",40.7305991,-73.9865811,"Stony Brook, NY",40.9256538,-73.1409429,142
"Ann Arbor, MI",42.2681569,-83.731229,"San Francisco, CA",37.7792808,-122.4192362,142
"Chicago, IL",41.8755546,-87.6244211,"Minneapolis, MN",44.9772995,-93.2654691,142
"Los Angeles, CA",34.0543942,-118.2439408,"Nashville, TN",36.1622296,-86.774353,140
"Chicago, IL",41.8755546,-87.6244211,"Milwaukee, WI",43.0349931,-87.9224969,140
"Atlanta, GA",33.7490987,-84.3901848,"Stanford, CA",37.4265649,-122.170187551249,140
"Chicago, IL",41.8755546,-87.6244211,"Princeton, NJ",40.3492744,-74.6592957,140
"Augusta, GA",33.4709714,-81.9748428,"New York, NY",40.7305991,-73.9865811,140
"Bethesda, MD",38.9848265,-77.0946458,"Cleveland, OH",41.5051613,-81.6934445,138
"Gainesville, FL",29.651907,-82.3247975,"Los Angeles, CA",34.0543942,-118.2439408,138
"Atlanta, GA",33.7490987,-84.3901848,"New Haven, CT",41.3082138,-72.9250517,138
"Los Angeles, CA",34.0543942,-118.2439408,"Princeton, NJ",40.3492744,-74.6592957,138
"Bethesda, MD",38.9848265,-77.0946458,"Milwaukee, WI",43.0349931,-87.9224969,138
"Davis, CA",38.545379,-121.7445834,"La Jolla, CA",32.8472711,-117.2742085,138
"Ashburn, VA",39.0437192,-77.4874898,"New York, NY",40.7305991,-73.9865811,136
"Atlanta, GA",33.7490987,-84.3901848,"Saint Louis, MO",38.6272733,-90.1978888,136
"Boston, MA",42.3604823,-71.0595677,"Winston Salem, NC",36.0998131,-80.2440517,136
"Chicago, IL",41.8755546,-87.6244211,"Madison, WI",43.074761,-89.3837612,136
"Boston, MA",42.3604823,-71.0595677,"Memphis, TN",35.1490215,-90.0516284,136
"Bethesda, MD",38.9848265,-77.0946458,"Birmingham, AL",33.5206824,-86.8024325,136
"New Haven, CT",41.3082138,-72.9250517,"Stanford, CA",37.4265649,-122.170187551249,136
"Boston, MA",42.3604823,-71.0595677,"Miami, FL",25.7742658,-80.1936588,136
"La Jolla, CA",32.8472711,-117.2742085,"Miami, FL",25.7742658,-80.1936588,136
"Saint Louis, MO",38.6272733,-90.1978888,"Stanford, CA",37.4265649,-122.170187551249,134
"Baltimore, MD",39.2908608,-76.6108072,"Madison, WI",43.074761,-89.3837612,134
"La Jolla, CA",32.8472711,-117.2742085,"Minneapolis, MN",44.9772995,-93.2654691,134
"Durham, NC",35.9940329,-78.8986189,"Saint Louis, MO",38.6272733,-90.1978888,134
"Dallas, TX",32.7762719,-96.7968558,"Saint Louis, MO",38.6272733,-90.1978888,132
"Ann Arbor, MI",42.2681569,-83.731229,"Durham, NC",35.9940329,-78.8986189,132
"Durham, NC",35.9940329,-78.8986189,"Houston, TX",29.7589382,-95.3676973,132
"Boston, MA",42.3604823,-71.0595677,"Columbus, OH",39.9622601,-83.0007064,130
"Baltimore, MD",39.2908608,-76.6108072,"Tempe, AZ",33.4144139,-111.9094473,130
"Los Angeles, CA",34.0543942,-118.2439408,"Minneapolis, MN",44.9772995,-93.2654691,130
"Baltimore, MD",39.2908608,-76.6108072,"Cleveland, OH",41.5051613,-81.6934445,130
"Irvine, CA",33.6856969,-117.8259818,"Stanford, CA",37.4265649,-122.170187551249,130
"Atlanta, GA",33.7490987,-84.3901848,"Houston, TX",29.7589382,-95.3676973,128
"New Haven, CT",41.3082138,-72.9250517,"Pittsburgh, PA",40.4416941,-79.990086,128
