location1,lat1,lon1,location2,lat2,lon2,count
"Beijing, China",39.9059631,116.391248,"Shanghai, China",31.2253441,121.4888922,280
"New York, NY",40.7305991,-73.9865811,"Pittsburgh, PA",40.4416941,-79.990086,280
"Los Angeles, CA",34.0543942,-118.2439408,"Philadelphia, PA",39.9523993,-75.1635898,278
"Boston, MA",42.3604823,-71.0595677,"Madison, WI",43.074761,-89.3837612,276
"La Jolla, CA",32.8472711,-117.2742085,"Stanford, CA",37.4265649,-122.170187551249,276
"New York, NY",40.7305991,-73.9865811,"Seattle, WA",47.6038321,-122.3300623,276
"Los Angeles, CA",34.0543942,-118.2439408,"Stanford, CA",37.4265649,-122.170187551249,274
"Beijing, China",39.9059631,116.391248,"Los Angeles, CA",34.0543942,-118.2439408,270
"Boston, MA",42.3604823,-71.0595677,"Gainesville, FL",29.651907,-82.3247975,270
"Boston, MA",42.3604823,-71.0595677,"Providence, RI",41.8239891,-71.4128342,268
"Bethesda, MD",38.9848265,-77.0946458,"Houston, TX",29.7589382,-95.3676973,258
"New York, NY",40.7305991,-73.9865811,"Saint Louis, MO",38.6272733,-90.1978888,256
"Durham, NC",35.9940329,-78.8986189,"Los Angeles, CA",34.0543942,-118.2439408,254
"Los Angeles, CA",34.0543942,-118.2439408,"Shanghai, China",31.2253441,121.4888922,252
"Montreal, QC, Canada",45.5087928,-73.5539819,"New York, NY",40.7305991,-73.9865811,250
"Bethesda, MD",38.9848265,-77.0946458,"Stanford, CA",37.4265649,-122.170187551249,250
"Beijing, China",39.9059631,116.391248,"La Jolla, CA",32.8472711,-117.2742085,248
"Bethesda, MD",38.9848265,-77.0946458,"Toronto, ON, Canada",43.6529206,-79.3849007,246
"Boston, MA",42.3604823,-71.0595677,"Dallas, TX",32.7762719,-96.7968558,246
"Boston, MA",42.3604823,-71.0595677,"Minneapolis, MN",44.9772995,-93.2654691,244
"Bethesda, MD",38.9848265,-77.0946458,"New Haven, CT",41.3082138,-72.9250517,244
"Dallas, TX",32.7762719,-96.7968558,"New York, NY",40.7305991,-73.9865811,242
"Baltimore, MD",39.2908608,-76.6108072,"Durham, NC",35.9940329,-78.8986189,240
"Boston, MA",42.3604823,-71.0595677,"Groton, CT",41.3506989,-72.0773653,240
"Ann Arbor, MI",42.2681569,-83.731229,"New York, NY",40.7305991,-73.9865811,238
"Los Angeles, CA",34.0543942,-118.2439408,"New Haven, CT",41.3082138,-72.9250517,236
"Boston, MA",42.3604823,-71.0595677,"Vancouver, BC, Canada",49.2608944,-123.1139382,234
"Bethesda, MD",38.9848265,-77.0946458,"Korea, Republic Of",35.3985008,127.937111,234
"Houston, TX",29.7589382,-95.3676973,"La Jolla, CA",32.8472711,-117.2742085,232
"Bethesda, MD",38.9848265,-77.0946458,"Shanghai, China",31.2253441,121.4888922,232
"New York, NY",40.7305991,-73.9865811,"Vancouver, BC, Canada",49.2608944,-123.1139382,230
"Korea, Republic Of",35.3985008,127.937111,"Los Angeles, CA",34.0543942,-118.2439408,230
"Chicago, IL",41.8755546,-87.6244211,"San Francisco, CA",37.7792808,-122.4192362,228
"La Jolla, CA",32.8472711,-117.2742085,"New Haven, CT",41.3082138,-72.9250517,228
"Gainesville, FL",29.651907,-82.3247975,"New York, NY",40.7305991,-73.9865811,228
"Durham, NC",35.9940329,-78.8986189,"La Jolla, CA",32.8472711,-117.2742085,228
"Boston, MA",42.3604823,-71.0595677,"Tokyo, Japan",34.2255804,139.294774527387,226
"Atlanta, GA",33.7490987,-84.3901848,"Chicago, IL",41.8755546,-87.6244211,224
"Baltimore, MD",39.2908608,-76.6108072,"Pittsburgh, PA",40.4416941,-79.990086,224
"La Jolla, CA",32.8472711,-117.2742085,"Philadelphia, PA",39.9523993,-75.1635898,222
"Baltimore, MD",39.2908608,-76.6108072,"Shanghai, China",31.2253441,121.4888922,222
"Irvine, CA",33.6856969,-117.8259818,"Los Angeles, CA",34.0543942,-118.2439408,220
"Madison, WI",43.074761,-89.3837612,"New York, NY",40.7305991,-73.9865811,220
"Atlanta, GA",33.7490987,-84.3901848,"La Jolla, CA",32.8472711,-117.2742085,220
"Chicago, IL",41.8755546,-87.6244211,"Durham, NC",35.9940329,-78.8986189,220
"Atlanta, GA",33.7490987,-84.3901848,"Los Angeles, CA",34.0543942,-118.2439408,218
"Chicago, IL",41.8755546,-87.6244211,"Philadelphia, PA",39.9523993,-75.1635898,216
"Kanagawa, Japan",35.3149965,139.35785319696,"Tokyo, Japan",34.2255804,139.294774527387,216
"Beijing, China",39.9059631,116.391248,"Chicago, IL",41.8755546,-87.6244211,216
